MATERIA,TEMA,PREGUNTA,RESPUESTA1,RESPUESTA2,RESPUESTA3,RESPUESTA4,CORRECTA,EXPLICACION
01. Matemáticas Básicas,01. Gráficas y funciones,Variable dependiente es,Es aquella que no puede tomar arbitrariamente cualquier valor comprendido dentro de su campo de variabilidad,"Aquella que no puede tomarse arbitrariamente, siendo sus valores dependientes de otra u otras variables independientes",Es aquella que puede tomar arbitrariamente cualquier valor comprendido dentro de su campo de variabilidad,"Aquella que puede tomarse arbitrariamente, siendo sus valores dependientes de otra u otras variables independientes",2,
01. Matemáticas Básicas,01. Gráficas y funciones,Constante es,Es aquella cantidad que tiene un valor fijo y determinado,Aquella cantidad que tiene un valor fijo e indeterminado,"Aquella cantidad que tiene un valor comprendido dentro de un conjunto, que se llama campo de variabilidad",Aquella cantidad que no tiene valor fijo ni determinado,1,
01. Matemáticas Básicas,01. Gráficas y funciones,Variable independiente,Es aquella cantidad que tiene un valor fijo y determinado,Es aquella que no puede tomar arbitrariamente cualquier valor,Es aquella que puede tomar arbitrariamente cualquier valor,Es aquella que puede tomar arbitrariamente cualquier valor comprendido dentro de su campo de variabilidad,4,
01. Matemáticas Básicas,01. Gráficas y funciones,El eje horizontal se llama,Eje de abscisas o eje de las x. Se representa por la letra X,Eje de abscisas o eje de las y. Se representa por la letra Y,Eje de ordenadas o eje de las y. Se representa con la letra Y,Eje de ordenadas o eje de las x. Se representa con la letra X,1,
01. Matemáticas Básicas,01. Gráficas y funciones,El eje vertical se llama,Eje de abscisas o eje de las x. Se representa por la letra X,Eje de abscisas o eje de las y. Se representa por la letra Y,Eje de ordenadas o eje de las y. Se representa con la letra Y,Eje de ordenadas o eje de las x. Se representa con la letra X,3,
01. Matemáticas Básicas,01. Gráficas y funciones,Define Característica de una función,Es la relación que existe entre la variable dependiente y la independiente,"Es la letra f que representa el total de operaciones que han de realizarse con un valor de la variable independiente x, para obtener el valor de la variable dependiente y","Es la letra f que representa el total de operaciones que han de realizarse con un valor de la variable dependiente x, para obtener el valor de la variable independiente y",Es el valor que toma la función y = f(x) para un determinado valor de la variable X,2,
01. Matemáticas Básicas,01. Gráficas y funciones,Cual es el valor numérico de una función,Es el valor que toma la función y = f(x) para un determinado valor de la variable X,Es el valor de la variable independiente,Es el valor de la variable dependiente,Ninguna es correcta,1,
01. Matemáticas Básicas,01. Gráficas y funciones,Como se llaman las funciones del tipo y = a·x + b,Función Lineal,Función de Primer Grado,A y B son correctas,Ninguna es correcta,3,
01. Matemáticas Básicas,01. Gráficas y funciones,"En una función lineal y = a·x + b, cómo se denomina al valor a",Ordenada de Origen,Pendiente de la recta,Coordenada de Origen,Ninguna es correcta,2,
01. Matemáticas Básicas,01. Gráficas y funciones,¿Cuando podemos decir que dos rectas son paralelas?,Cuando ambas cortan el eje Y en el mismo punto,Cuando ambas tienen la misma pendiente (mismo valor de x),Cuando ambas tienen la misma pendiente (mismo valor de a),Cuando ambas cortan al eje X en el mismo punto,3,
01. Matemáticas Básicas,01. Gráficas y funciones,¿Cuántos puntos son necesarios para definir una línea recta?,1,2,3,"No es posible definir una recta mediante punto, esd necesario una función f(x)",2,
01. Matemáticas Básicas,01. Gráficas y funciones,¿Qué es una función exponencial?,Una función con la forma y = a·x + 1,Una función con la forma y = a^x ,Una función con la forma y = a·x + b^2,Una función con la forma y = a^x siendo a > 0,4,
01. Matemáticas Básicas,01. Gráficas y funciones,¿Qué ocurre cuando en una función exponencial a es mayor que 1,"Se dice que la función es monótona decreciente, es decir decrece constantemente al crecer la variable independiente","Se dice que la función es monótona creciente, es decir, crece constantemente al crecer la variable independiente","Se dice que la función es monótona decreciente, es decir decrece constantemente al crecer la variable dependiente","Se dice que la función es monótona creciente, es decir, crece constantemente al crecer la variable dependiente",2,
01. Matemáticas Básicas,01. Gráficas y funciones,¿Qué ocurre cuando en una función exponencial a es menor que 1 y mayor que 0,"Se dice que la función es monótona decreciente, es decir crece constantemente al decrecer la variable independiente","Se dice que la función es monótona creciente, es decir, crece constantemente al decrecer la variable independiente","Se dice que la función es monótona decreciente, es decir decrece constantemente al crecer la variable independiente","Se dice que la función es monótona creciente, es decir, crece constantemente al crecer la variable dependiente",3,
01. Matemáticas Básicas,01. Gráficas y funciones,¿Qué es una función logarítmica?,Es la función en la que interviene una expresión que representa el concepto de logarítmo,"Aquella que tiene entre sus propiedades que cuando x = 0, y siempre vale 1","Aquella que tiene entre sus propiedades que cuando x = 1, y siempre vale a",Es la inversa de la función exponencial,4,
01. Matemáticas Básicas,01. Gráficas y funciones,¿Qué es una función trigonométrica?,Aquellas en las que la variable dependiente se encuentra afectada por alguna razón trigonométrica,Aquellas en las que la variable independiente se encuentra afectada por alguna razón trigonométrica,"Aquellas que son periódicas, es decir, sus valores se repiten periódicamente",Es la inversa de la función logarítmica,2,
01. Matemáticas Básicas,01. Gráficas y funciones,¿Qué nombre recibe la representación gráfica de la función Y = X²?,Circunferencia,Elipse,Hiperbola,Parabola,3,
01. Matemáticas Básicas,02. Logaritmos,¿Cual es la principal ventaja del uso de logarítmos?,"Dado que la función logarítmica es la inversa de la función exponencial, se utilizan para hallar la solución de ecuaciones exponenciales, ya que de otra manera se deberían resolver por tanteo",Nos permite el cálculo del valor en decibelios,"Dado que la función logarítmica es la inversa de la función exponencial, se utilizan para hallar la solución de ecuaciones de segundo grado, ya que de otra manera se deberían resolver por tanteo","Dado que la función logarítmica es la inversa de la función lineal, se utilizan para hallar la solución de ecuaciones de primer grado, ya que de otra manera se deberían resolver por tanteo",1,
01. Matemáticas Básicas,02. Logaritmos,"Si una señal entra en un sistema con una determinada potencia y al salir, sale con menor potencia, entonces es que se ha producido una",Ganancia,Atenuación,Transmisión,Pérdida,2,
01. Matemáticas Básicas,02. Logaritmos,DECIBELIO es,"La unidad básica de transmisión, que no se representa mediante dB. Esta unidad representa una relación entre dos magnitudes, la que se estudia respecto de la que se referencia","La unidad básica de medida del sonido, que se representa mediante dB. Esta unidad representa una relación entre dos magnitudes, la que se estudia respecto de la que se referencia","La unidad básica de transmisión, que se representa mediante dB. Esta unidad representa una relación entre dos magnitudes, la que se estudia respecto de la que se referencia","La unidad básica de transmisión, que se representa mediante Dbl. Esta unidad representa una relación entre dos magnitudes, la que se estudia respecto de la que se referencia",3,"En una conversación normal, la potencia de transmisión habitual (voz), está en torno a las 10 microwatios. Si hubiese un receptor a 1 metro de distancia y otro receptor a 2 metros. En el caso de que el primero recibiese la señal con una potencia de 8 microwatios exactamente, el segundo la recibiría con menos de 6 microwatios. La razón se debe a que la atenuación no es lineal sino logarítmica"
01. Matemáticas Básicas,02. Logaritmos,La fórmula de calcular los DECIBELIOS es,"dB = 10 log (P1/ P2) Donde si P1 es mayor que P2, los dB's serán positivos, y negativos si P1 es menor que P2, entendiéndose que en el primer caso existe una ganancia, y en el segundo una atenuación, expresando el signo tal calificación (signo negativo = atenuación; signo positivo = ganancia)","dB = 10 log (P2/ P1) Donde si P1 es mayor que P2, los dB's serán positivos, y negativos si P1 es menor que P2, entendiéndose que en el primer caso existe una ganancia, y en el segundo una atenuación, expresando el signo tal calificación (signo negativo = atenuación; signo positivo = ganancia)","dB = log (P1/ P2) Donde si P1 es mayor que P2, los dB's serán positivos, y negativos si P1 es menor que P2, entendiéndose que en el primer caso existe una ganancia, y en el segundo una atenuación, expresando el signo tal calificación (signo negativo = atenuación; signo positivo = ganancia)","dB = log * (P1/ P2) Donde si P1 es mayor que P2, los dB's serán positivos, y negativos si P1 es menor que P2, entendiéndose que en el primer caso existe una ganancia, y en el segundo una atenuación, expresando el signo tal calificación (signo negativo = atenuación; signo positivo = ganancia)",1,"Si la fórmula anterior se proyecta sobre un elemento, ya sea una vía de transmisión o un equipo específico, la identificación de las potencias será: la potencia P2 es la de entrada y la P1 de salida. En cualquier caso, el valor en decibelios siempre expresa una relación entre dos potencias y nunca el valor absoluto de ellas. Ejemplo: de cálculo de la relación de la potencia en un sistema de 10 dB: 10dB = 10 log(P1/P2), dividiendo por 10 quedaría, 1= log (P1/P2), pero como (1=log10), podemos poner la expresión como: 10 log10= log (P1/P2) luego 10 = P1/P2 O lo que es lo mismo, la salida del sistema es 10 veces superior a la entrada, luego es lógico que se diga que presenta una ganancia de 10 dB"
